name,ingredients,url,image,cookTime,recipeYield,datePublished,prepTime,description,difficulty
Chicken Tortilla Soup,"2 whole Boneless, Skinless Chicken Breasts
1 Tablespoon Olive Oil
1-1/2 teaspoon Cumin
1 teaspoon Chili Powder
1/2 teaspoon Garlic Powder
1/2 teaspoon Salt
1 Tablespoon Olive Oil
1 cup Diced Onion
1/4 cup Diced Green Bell Pepper
1/4 cup Red Bell Pepper
3 cloves Garlic, Minced
1 can (10 Oz. Can) Rotel Tomatoes And Green Chilies
32 ounces, fluid Low Sodium Chicken Stock
3 Tablespoons Tomato Paste
4 cups Hot Water
2 cans (15 Oz. Can) Black Beans, Drained
3 Tablespoons Cornmeal Or Masa
5 whole Corn Tortillas, Cut Into Uniform Strips Around 2 To 3 Inches
 _____
 FOR THE GARNISHES:
 Sour Cream
 Diced Avocado
 Diced Red Onion
 Salsa Or Pico De Gallo
 Grated Monterey Jack Cheese
 Cilantro",http://thepioneerwoman.com/cooking/2011/01/chicken-tortilla-soup/,http://static.thepioneerwoman.com/cooking/files/2011/01/5337400468_d5892f3a03_o.jpg,PT1H30M,8,2011-01-10,PT10M,"I love, love, love, love Chicken Tortilla Soup. So over the weekend, I made some.     The end.     Wasn't that a beautiful st...",Hard
My Brother’s Chicken Tacos,"16 whole Corn Tortillas (small Size)
4 whole Boneless, Skinless Chicken Breasts, Cut Into Pieces
 Salt, Cumin, Chili Powder To Taste (or Use Taco Seasoning)
2 Tablespoons Canola Oil
2 cans (4 Ounce) Diced Green Chilies
1-1/2 cup Finely Grated Cheese (cheddar Or Cheddar/jack Mix)
 Sour Cream
 Hot Sauce (Chulula Or Other Brand)
2 cups Thinly Sliced Romaine Lettuce (or Any Lettuce)
4 whole Roma Tomatoes, Diced
 Canola Oil, For Frying Tacos",http://thepioneerwoman.com/cooking/2011/03/my-brothers-chicken-tacos/,http://static.thepioneerwoman.com/cooking/files/2011/03/tacos.jpg,PT30M,8,2011-03-31,PT10M,"Before I share this recipe with you, let me warn you: it's a royal mess. But as is the case with many messy dishes (cinnamon ...",Medium
Simple Sesame Noodles,"12 ounces, fluid Thin Noodles, Cooked And Drained
1/4 cup Soy Sauce
2 Tablespoons Sugar
4 cloves Garlic, Minced
2 Tablespoons Rice Vinegar
3 Tablespoons Pure Sesame Oil
1/2 teaspoon Hot Chili Oil
4 Tablespoons Canola Oil
4 whole Green Onions, Sliced Thin",http://thepioneerwoman.com/cooking/2010/08/simple-sesame-noodles/,http://static.thepioneerwoman.com/cooking/files/2010/08/3949394720_c854047191_o1.jpg,PT10M,8,2010-08-13,PT10M,  I'll be spending the weekend cooking some new recipes and making such a mess of my kitchen I'll want to cry and burn down t...,Easy
Creamy Cheese Grits with Chilies,"4-1/2 cups Water
1/2 teaspoon Salt
1 cup Grits (quick Or Regular)
1/2 can (10 Ounce Can) Rotel (tomatoes And Chilies)
1 can (4 Ounce Can) Chopped Green Chilies
8 ounces, weight Monterey Jack Cheese, Grated
4 ounces, weight Cream Cheese, Cut Into Cubes
1/4 teaspoon Cayenne Pepper
1/4 teaspoon Paprika
 Black Pepper To Taste
1 whole Egg Beaten",http://thepioneerwoman.com/cooking/2010/10/creamy-cheese-grits-with-chilies/,http://static.thepioneerwoman.com/cooking/files/2010/10/5079611293_ff628b6e0c_z.jpg,PT45M,8,2010-10-14,PT5M,"I have a good, basic recipe for cheese grits in my cookbook, but last night I was feeling feisty.     I was cooking steaks. B...",Medium
Big Steak Salad,"2 whole Rib-eye Or Strip Steaks, Extra Fat Trimmed
 _____
 FOR THE DRESSING/MARINADE:
3/4 cups Canola Oil
3 Tablespoons Red Wine Vinegar
1 Tablespoon Balsamic Vinegar
1 Tablespoon Worcestershire Sauce
2 Tablespoons Soy Sauce
1 teaspoon (additional) Soy Sauce
2 Tablespoons Lime Juice
2 Tablespoons Sugar
3 cloves Garlic, Peeled
1 Tablespoon Minced Fresh Ginger
1/2 teaspoon Hot Chili Oil
1 teaspoon Kosher Salt
 Lots Of Freshly Ground Black Pepper
 _____
 FOR THE ONION STRINGS:
2 whole Onions, Sliced As Thin As Possible
2 cups Buttermilk
2 cups Flour
1 Tablespoon Salt
1/2 teaspoon Cayenne Pepper
1 quart Canola Oil
 Black Pepper To Taste
 _____
 FOR THE CANDIED PECAN BITS:
1/2 cup Pecans, Chopped
1 cup Sugar
2 Tablespoons Water
 _____
 FOR THE SALAD:
 Lettuce Mix: Romaine, Arugula, Watercress, Raddiccio, Etc.
 Small Grape Tomatoes
3/4 cups Crumbled Blue Cheese",http://thepioneerwoman.com/cooking/2010/10/big-steak-salad/,http://static.thepioneerwoman.com/cooking/files/2010/10/5095710774_9a8833d919_z.jpg,PT20M,4,2010-10-20,PT1M,There are few things I love more than a big green salad with sliced grilled steak on top. Whenever Marlboro Man and I land at...,Easy
Butternut Squash &amp; Kale Quesadillas,"1/2 whole Butternut Squash, Peeled, Seeded, And Diced.
2 Tablespoons Butter
1 Tablespoon Olive Oil
1/2 teaspoon Kosher Salt
 Black Pepper To Taste
1/4 teaspoon Chili Powder (more To Taste)
1 bunch Kale, Leaves Torn, Stalks Discarded
8 whole Small (fajita Sized) Flour Tortillas
 Extra Butter For Frying
2-1/2 cups Monterey Jack Cheese, Grated (more If Needed)
 Sour Cream For Serving
 Cilantro, For Serving
 Pico De Gallo, Salsa, Avocado Slices (optional) For Serving",http://thepioneerwoman.com/cooking/2013/01/butternut-squash-kale-quesadillas/,http://static.thepioneerwoman.com/cooking/files/2013/01/squashkale.jpg,PT20M,4,2013-01-07,PT15M,I am a passionate lover of butternut squash. I've written before about how a spoonful of butternut squash puree (spiked with ...,Medium
Passover Brisket,"1 whole Beef Brisket, Trimmed Of All Fat (5 To 8 Pounds)
1 bottle (24 Ounce) Ketchup Or Chili Sauce (make Sure It's Kosher)
1 package Onion Soup Mix (make Sure It's Kosher)",http://thepioneerwoman.com/cooking/2010/03/passover-brisket-i-think/,http://static.thepioneerwoman.com/cooking/files/2010/07/4475462524_0903f9b850.jpg,PT7H,8,2010-03-30,PT10M,"Okay. I think we've more than established that when it comes to correct methods for cooking and serving Passover food, I am n...",Hard
Sloppy Joes,"2 Tablespoons Butter
2-1/2 pounds Ground Beef
1/2 whole Large Onion, Diced
1 whole Large Green Bell Pepper, Diced
5 cloves Garlic, Minced
1-1/2 cup Ketchup
1 cup Water
2 Tablespoons Brown Sugar
2 teaspoons Chili Powder (more To Taste)
1 teaspoon Dry Mustard
1/2 teaspoon Red Pepper Flakes (more To Taste)
 Worcestershire Sauce, To Taste
2 Tablespoons Tomato Paste (optional)
 Tabasco Sauce (optional; To Taste)
 Salt To Taste
 Freshly Ground Black Pepper, To Taste
 Kaiser Rolls
 Butter",http://thepioneerwoman.com/cooking/2010/04/sloppy-joes/,http://static.thepioneerwoman.com/cooking/files/2010/07/4512963320_bba26f6a97_o.jpg,PT20M,8,2010-04-12,PT10M,"I used to be terrified of sloppy joes. It's true. When I was a little girl, I got it in my head that sloppy joes were demons,...",Medium
Chicken with Mushrooms and Artichokes,"8 whole Chicken Legs Or Thighs
 Salt And Pepper, to taste
 3 Tablespoons Olive Oil
16 ounces, weight White Mushrooms, Sliced
5 whole Garlic Cloves, Minced
1/2 cup White Wine, Or More To Taste
2 cups Chicken Broth (More As Needed)
1 whole 14.5 Ounce Can Artichoke Hearts, Drained , Rinsed, And Patted Dry
1 cup Heavy Cream
 Freshly Chopped Chives To Taste
 Freshly Grated Parmesan
16 ounces, weight Pasta - Cooked And Drained",http://thepioneerwoman.com/cooking/2010/04/chicken-with-mushrooms-and-artichokes/,http://static.thepioneerwoman.com/cooking/files/2010/07/4522037534_b5bf34a91c_o.jpg,PT1H,8,2010-04-19,PT10M,This is the second of two chicken-centered pantry meals I made last week after discovering a slew of chicken legs that were c...,Hard
Butternut Squash Risotto,"1/2 whole Butternut Squash, Peeled, Seeded, And Diced.
3 Tablespoons Butter
1 Tablespoon Olive Oil
1/2 teaspoon Kosher Salt
 Black Pepper To Taste
1/4 teaspoon Chili Powder
1/2 whole Diced Onion
1-1/2 cup Arborio Rice
6 cups (approximately) Vegetable Or Chicken Broth (low Sodium)
 Salt And Pepper, to taste
1/8 teaspoon Turmeric
1/4 cup Heavy Cream (less If Desired)
1/2 cup Parmesan Shavings (more For Serving)
 Finely Minced Parsley, For Serving",http://thepioneerwoman.com/cooking/2013/01/butternut-squash-risotto/,http://static.thepioneerwoman.com/cooking/files/2013/01/risotto.jpg,PT1H,8,2013-01-21,PT10M,"A couple of weeks ago, I cooked Butternut Squash &amp; Kale Quesadillas. The same day, because I had hacked into a whole butternu...",Hard
"Chicken Tikka Masala, by Pastor Ryan","3 whole (to 4) Chicken Breasts
 Kosher Salt
 Ground Coriander
 Cumin, To Taste
1/2 cup Plain Yogurt
6 Tablespoons Butter
1 whole Large Onion
4 cloves Garlic
1 piece (approximately 2 Inches) Chunk Fresh Ginger
 Garam Masala
1 can (28 Ounce) Diced Tomatoes
 Sugar
1-1/2 cup Heavy Cream
2 cups Basmati Rice
 _____
 OPTIONAL:
 Fresh Cilantro
 Chili Peppers
 Turmeric
 Frozen Peas",http://thepioneerwoman.com/cooking/2009/06/chicken-tikka-masala-by-pastor-ryan/,http://static.thepioneerwoman.com/cooking/files/2009/06/chicken-tikka-masala.jpg,PT1H,6,2009-06-04,PT30M,"Whether you love Chicken Tikka Masala or you've never tried it in your life, you're in for a treat. Ryan comes through once a...",Hard
Fresh Corn and Avocado Salsa,"4 ears Sweet Corn
2 whole Very Firm Avocados, Diced
 1/2 Red Onion, Diced
 1/2 Jalapeno, Seeded And Finely Diced
 1/2 Hot Chili Pepper, Seeded And Finely Diced
1 whole Juice Of Lime
 Plenty Of Chopped Cilantro
 Salt To Taste
1 Tablespoon Vinegar
1 teaspoon Sugar (optional)",http://thepioneerwoman.com/cooking/2009/08/fresh-corn-avocado-salsa/,http://static.thepioneerwoman.com/cooking/files/2009/08/ree_66701.jpg,PT,10,2009-08-13,PT25M,"I dropped by the Lodge yesterday afternoon and discovered, to both my horror and excitement, that our friend Dave from Indian...",Easy
Spaghetti with Artichoke Hearts and Tomatoes,"2 Tablespoons Olive Oil
2 Tablespoons Butter
3 cloves Garlic, Minced
1/2 whole Medium Onion, Finely Diced
1 can Artichoke Hearts (14.5 Oz. Quartered Or Whole)  Drained
1 can Diced Tomatoes With Juice (14.5 Oz.)
1 cup Heavy Cream
1/2 cup Chicken Broth (More As Needed)
1/2 teaspoon Nutmeg
 Salt And Pepper, to taste
1 pound Thin Spaghetti
1 cup Parmesan Cheese, Freshly Grated
2 Tablespoons Fresh Chives (or Other Herbs) Chopped",http://thepioneerwoman.com/cooking/2009/10/wednesday-night-dinner-spaghetti-with-artichoke-hearts-and-tomatoes/,http://static.thepioneerwoman.com/cooking/files/2010/07/4009785487_32dbb4aefa.jpg,PT30M,6,2009-10-14,PT15M,"This is such an easy throw-together dinner, I'm almost embarrassed to share it with you. It's made almost entirely of pantry ...",Medium
White Chicken Enchiladas,"2-1/2 cups Cooked, Shredded Chicken
2 cups Reserved Broth From Chicken
3 Tablespoons Canola Oil
12 whole Corn Tortillas
1 whole Large Onion, Diced
3 whole 4 Oz Cans Whole Green Chilies, Diced
1 whole Jalapeno, Seeded And Finely Diced
1 teaspoon Paprika
1/2 cup Heavy Cream
2 Tablespoons Butter
2 Tablespoons Flour
1 cup Sour Cream
2-1/2 cups Monterey Jack Cheese, Grated
 Salt And Pepper, to taste
 Picante Sauce (optional)
 Cilantro, Chopped",http://thepioneerwoman.com/cooking/2009/11/white-chicken-enchiladas/,http://static.thepioneerwoman.com/cooking/files/2010/07/4060528829_67db52b435.jpg,PT30M,6,2009-11-09,PT45M,"I'm happy to share my method for making creamy, dreamy, delicious, nutritious, yummy, nummy white chicken enchiladas.    They...",Hard
Good Ol’ Basic Mexican Rice,"2 Tablespoons Canola Oil
1/2 whole Large Onion, Chopped
2 cups Long Grain Rice
3 cloves Garlic, Minced
1 can Rotel Diced Green Chilies And Tomatoes (10 Ounce Can)
1 can Whole Tomatoes (14.5 Ounce Can)
2 cups Low Sodium Chicken Broth (more If Needed)
1 teaspoon Cumin (more To Taste)
1 teaspoon Kosher Salt
 Fresh Cilantro, Chopped",http://thepioneerwoman.com/cooking/2009/11/good-ol-basic-mexican-rice/,http://static.thepioneerwoman.com/cooking/files/2010/07/4021656171_abe77dc608.jpg,PT15M,6,2009-11-11,PT10M,I serve this rice with my White Chicken Enchiladas and they really are the perfect complement. It's a very basic Mexican rice...,Easy
White Chili,"1 whole Fryer Chicken, Cut Up (or 3 Cups Cooked Chicken)
1 whole Medium Onion, Diced
4 cloves Garlic, Minced
2 whole Cans Green Chilies, Chopped
1 pound Dried Great Northern Beans, Rinsed
8 cups Chicken Broth
1 whole Jalapeno, Sliced
1-1/2 Tablespoon Ground Cumin
1/2 teaspoon Paprika
1/2 teaspoon Cayenne Pepper
 Salt To Taste
 White Pepper, To Taste
1 cup Whole Milk
2 Tablespoons Masa (corn Flour) OR Cornmeal
 Grated Monterey Jack, To Taste
 Sour Cream For Garnish
 Cilantro For Garnish
 Guacamole (optional)
 Pico De Gallo (optional)
 Corn Tortillas, Warmed",http://thepioneerwoman.com/cooking/2010/01/simple-hearty-white-chili/,http://static.thepioneerwoman.com/cooking/files/2010/07/4243109382_1a797f44d2.jpg,PT2H,8,2010-01-04,PT25M,"I love white chili. And just like regular chili, there are as many incarnations as there are grains of sand in all the beache...",Hard
Mexican Layer Dip,"1 can Refried Beans
 Tabasco Sauce, To Taste
1 can Diced Green Chilies
 Ground Cumin, to taste
3/4 cups Grated Sharp Cheddar Cheese
1 cup Sour Cream
1 cup Guacamole
3/4 cups Monterey Jack Cheese
1 can Black Olives
1 cup Pico De Gallo",http://thepioneerwoman.com/cooking/2009/01/mexican-layer-dip/,http://static.thepioneerwoman.com/cooking/files/2010/07/3240212440_rec_chil959a301.jpg,PT,8,2009-01-30,PT15M,"    It's the exact same Mexican Layer Dip I grew up eating in the eighties, with the exception of these modifications:    1. ...",Easy
Quiche,"3/4 pounds Thick Cut, Peppered Bacon
1 stick Butter
1 whole Large (or 2 Medium) Onions, Very Thinly Sliced
2 boxes (5 Oz. Each) White Mushrooms, Washed And Sliced
1 can (14 Oz.) Quartered Artichoke Hearts
1 whole Pie Crust, Or Half A Recipe Of ""Sylvia's Perfect Pie Crust""
7 whole Eggs
1-1/2 cup Heavy Cream
2 cups Grated Swiss Cheese
 Salt And Pepper, to taste
 Optional:  Fresh Parsley, Fresh Chives",http://thepioneerwoman.com/cooking/2009/04/quiche/,http://static.thepioneerwoman.com/cooking/files/2010/07/3459342012_c55937eb23.jpg,PT1H,8,2009-04-20,PT45M,    Fact: Real cowboys don't eat quiche.    But that just leaves more for me!    I've been making this deep-dish quiche---and...,Hard
What I Made for Lunch on Saturday,"1-1/2 pound Linguine
1 bunch Cilantro, Roughly Chopped
4 whole Green Onions, Thinly Sliced
 _____
 PEANUT DRESSING:
5 cloves Garlic, Peeled
1 cup Chunky Peanut Butter
3/4 cups Low Sodium Soy Sauce
4 Tablespoons (to 5 Tablespoons) Red Wine Vinegar
6 Tablespoons Brown Sugar
3 Tablespoons (to 4 Tablespoons) Red Chile Oil
1/4 cup Olive Oil
1/4 cup Sesame Oil (can Also Use 1/2 Cup Olive Oil)
1 Tablespoon (to 2 Tablespoons) Toasted Sesame Oil (sold In The Asian Aisle)",http://thepioneerwoman.com/cooking/2009/04/what-i-made-for-lunch-on-saturday/,http://static.thepioneerwoman.com/cooking/files/2009/04/what-i-made-for-lunch-on-saturday.jpg,PT10M,4,2009-04-27,PT20M,It's a long and lengthy process to explain why I cooked what I cooked for the Smitten Kitchen get together at the Lodge on Sa...,Medium
Leftover Brisket Tostadas," Beef Brisket Leftovers
1 package Small Corn Tortillas
1 can (about 16 Oz.) Refried Beans
1 can (about 8 Oz.) Hot Tomato Sauce Or Chili Sauce (optional)
 Pico De Gallo
 Shredded Cheese
 Lettuce
 Sour Cream
1 whole Avocado
 Vegetable Oil",http://thepioneerwoman.com/cooking/2008/01/leftover_brisket_make_tostadas/,http://static.thepioneerwoman.com/cooking/files/2010/07/2189916287_31398ea690.jpg,PT5M,6,2008-01-15,PT15M,"    There are few things more exciting, culinarily speaking, than slaving away over a dish for hours, then finding a way to u...",Easy
Cooking With Pastor Ryan: Delicious Mexican Lasagna,"4 cups Unprepared Rice
6 cups (to 8 Cups) Low Sodium Chicken Broth/stock
4 whole (to 8) Tomatoes (up To You)
2 whole (to 3) Onions (up To You)
8 cloves (to 14 Cloves) Of Garlic (up To You)
 Butter
 Taco Seasoning (or Chili Powder, Paprika, And Cumin) To Taste
1 can (to 2 Cans) Black Or Pinto Beans (up To You)
3 pounds Lean Ground Beef
2 jars (16 Ounce) Salsa Verde
 Flour Tortillas
3 packages (16 Ounces) Mexican Cheese Blend
1 jar (16 Ounce) Enchilada Sauce
3 cans Corn, Drained
 Sour Cream, to taste
 Cilantro, to taste",http://thepioneerwoman.com/cooking/2008/08/cooking-with-pastor-ryan-delicious-mexican-lasagna/,http://static.thepioneerwoman.com/cooking/files/2008/08/Delicious-Mexican-Lasagna.jpg,PT35M,8,2008-08-14,PT45M,"Hello PW peeps. It's Ryan, and I'm so excited to share this recipe with you because this has truly been the go-to meal of the...",Hard
Spicy Shredded Pork,"4 pounds (up To 7 Pounds) Pork Shoulder
1 teaspoon Dried Oregano
1 teaspoon Ground Cumin
1 teaspoon Chili Powder
1 Tablespoon (to 2 Tablespoons) Salt
 Pepper To Taste
3 cloves (to 4 Cloves) Garlic
1 Tablespoon (to 2 Tablespoons) Olive Oil
2 Tablespoons (to 3 Tablespoons) White Wine Vinegar
1/4 cup Brown Sugar
1 whole Onion
 Lime Wedges",http://thepioneerwoman.com/cooking/2008/08/spicy-shredded-pork/,http://static.thepioneerwoman.com/cooking/files/2008/08/Spicy-Shredded-Pork.jpg,PT4H,8,2008-08-06,PT20M,"   Oh my goodness, am I ever in love with pork shoulder. Wait a minute...did I just say that? That I'm in love with pork...",Hard
Salad Tacos,"16 whole Taco Shells
2 pounds Ground Beef
3 Tablespoons Taco Seasoning
1 can (4 Ounce) Tomato Paste
 Salt To Taste
1 can (14.5 Ounce) Beans (kidney, Pinto, Chili), Undrained
1/2 cup Hot Water
1 head Green Leaf Lettuce, Sliced Very Thin
1 cup Grape Tomatoes, Halved (or Diced Regular Tomatoes)
1 cup Grated Cheese (cheddar, Jack, Or Cheddar/jack)
 FOR THE DRESSING:
1/4 cup Mayonnaise
1/4 cup Sour Cream
1/4 cup Salsa
1 Tablespoon Ranch Dressing Mix (optional)
 Extra Hot Sauce (optional)
 Crushed Tortilla Chips (optional)",http://thepioneerwoman.com/cooking/2013/01/salad-tacos/,http://static.thepioneerwoman.com/cooking/files/2013/01/tacos.jpg,PT15M,8,2013-01-31,PT10M,"I made these tacos before my family and I left for our trip to Colorado, and we devoured every bite. They're pretty much the ...",Easy
